1322855,nan,9,31
463004,7513.271021370116,-0.125,9,32
233086,7513.271021370116,-0.09250000000000114,9,33
213899,7513.271021370116,-0.046500000000000694,9,34
426537,7513.271021370116,-0.00400000000000027,9,35
551602,-299.7807887954451,-0.04450000000000003,9,36
347646,-2598.710483923128,-0.03933999999999998,9,37
339251,-1003.5261962721975,-0.007169999999999632,9,38
228494,0.0,0.019000000000000128,9,39
158108,-1804.496846748549,0.01966999999999999,9,40
211152,3606.7394807330897,0.00033999999999991817,9,41
334238,-600.4974242319605,-0.007000000000000029,9,42
144999,-1201.7452097525804,-0.005000000000000071,9,43
268180,3602.2366801953253,-0.014999999999999859,9,44
521425,2097.158563912238,-0.01699999999999946,9,45
236176,-395.2310268440229,-0.02317999999999998,9,46
181916,-1102.4282386484786,-0.016840000000000188,9,47
446338,2993.7654255887123,-0.009500000000000598,9,48
282859,-1795.5136616150114,-0.002160000000000295,9,49
261694,-2397.4995810656096,0.005679999999999907,9,50
263956,-599.9979462192329,0.013000000000000256,9,51
435545,-600.2475813193797,0.023000000000000045,9,52
141981,600.2475813193797,0.0120000000000001,9,53
244683,-2703.082994991668,0.010999999999999944,9,54
200798,-300.655422758922,0.013500000000000158,9,55
92903,601.2482024466692,0.0110000000000003,9,56
148620,0.0,0.0074999999999999295,9,57
149130,-601.2482024466692,3.552713678800501e-16,9,58
228093,-1185.1924989594308,0.0049399999999995,9,59
115284,-1824.8128509732453,0.014969999999999574,10,0
186845,-2110.7465958074554,0.02399999999999949,10,1
313654,-1509.5690828896836,0.028529999999999944,10,2
297193,-906.5002126007471,0.027060000000000885,10,3
250458,2717.793659424039,0.010000000000000498,10,4
183318,-1811.2934468232922,0.0020000000000003127,10,5
50356,604.0171915273618,-0.0035000000000003696,10,6
91855,603.7644117791174,-0.005000000000000071,10,7
283637,-3027.401023730114,0.010019999999999741,10,8
183866,-2415.5965740479955,0.01800999999999995,10,9
255515,-2425.7173278989794,0.03300000000000019,10,10
154169,-607.0671416686935,0.03598999999999961,10,11
225215,-3039.173318757804,0.03297999999999988,10,12
331836,608.3470639959287,0.023999999999999844,10,13
231275,1215.9250959022927,0.010000000000000498,10,14
152640,1214.9011588595827,-0.0029999999999997585,10,15
110772,303.565501570624,-0.015000000000000215,10,16
194909,2729.2189679970493,-0.020500000000000185,10,17
107631,1725.8387386238637,-0.02469999999999999,10,18
172032,-1120.0461448437338,-0.01934999999999967,10,19
88570,2420.6298311142405,-0.01999999999999993,10,20
164186,2416.5751728837395,-0.020149999999999935,10,21
157805,905.173118193936,-0.0232999999999997,10,22
159251,-301.661274677123,-0.023499999999999945,10,23
105895,-603.511843516813,-0.008999999999999985,10,24
39323,0.0,0.0015000000000000568,10,25
56735,-1207.7816033064792,0.008000000000000186,10,26
48595,302.04020646085183,0.006999999999999673,10,27
84769,-302.04020646085183,0.005499999999999616,10,28
52162,-1202.7470816580176,0.007979999999999876,10,29
101949,-6.046487919242338,0.006490000000000152,10,30
47316,0.0,0.007000000000000384,10,31
136601,-858.858679055885,0.006849999999999668,10,32
170053,-1561.7711520583555,0.009439999999999671,10,33
100275,-6.056666957299228,0.012019999999999698,10,34
107026,-611.8543736937099,0.012630000000000053,10,35
128111,617.9110406510091,0.006180000000000164,10,36
88768,1610.1711500802196,-0.005329999999999658,10,37
113913,-399.34855203238584,-0.007699999999999818,10,38
93033,-1816.6151918279638,-0.0020399999999998644,10,39
82728,-606.0470750277602,0.007659999999999912,10,40
52907,606.0470750277602,0.011319999999999908,10,41
63525,302.9280936885925,0.0049999999999997165,10,42
50396,1513.6870981393713,-0.007500000000000284,10,43
58475,605.0304307123611,-0.013000000000000256,10,44
69172,0.0,-0.011500000000000555,10,45
71737,1807.528922761925,-0.01397999999999975,10,46
175612,6.041449169380542,-0.010989999999999611,10,47
79053,604.0171915273618,-0.010999999999999588,10,48
92925,0.0,-0.009009999999999962,10,49
25465,-906.1206458591541,-2.000000000030866e-05,10,50
105327,906.1206458591541,-0.0005000000000002558,10,51
58432,-2115.167472027224,0.007000000000000029,10,52
70657,0.0,0.008999999999999985,10,53
53722,-302.42009143144344,0.00849999999999973,10,54
80745,-3027.6926975680854,0.018499999999999874,10,55
134040,1211.8396688078903,0.0125,10,56
148210,-4081.897433747983,0.023460000000000036,10,57
96294,-164.0023246922695,0.024730000000000276,10,58
222280,-2431.8506236653548,0.025,10,59
259759,-2435.956747393497,0.03426999999999971,11,0
156782,609.3748943349908,0.02254000000000005,11,1
56096,-6.092475030250455,0.017020000000000125,11,2
123266,-908.0664155556306,0.008010000000000517,11,3
118719,304.78399625089025,0.0015000000000000568,11,4
114673,-609.6323948261429,0.0049899999999997394,11,5
168130,-3663.2140905847878,0.016479999999999606,11,6
159078,611.1819794387685,0.01799999999999997,11,7
79607,-611.1819794387685,0.019000000000000128,11,8
203217,-1223.1412694410083,0.01600000000000037,11,9
193265,-2449.3979413184875,0.015000000000000568,11,10
121266,1837.438211722997,0.014000000000000058,11,11
104450,1529.4128866756296,0.0020000000000003127,11,12
107369,-996.9932442164264,-0.0052400000000005775,11,13
94253,691.2403468364303,-0.010870000000000248,11,14
91343,-1223.6599892956335,0.0004999999999999006,11,15
129711,-777.5632154949363,0.008409999999999584,11,16
174628,-753.472735143923,0.010009999999999764,11,17
128287,153.1767311400145,0.010999999999999944,11,18
94583,-153.1767311400145,0.005979999999999919,11,19
74798,1531.0359506388593,-0.0025399999999997647,11,20
115478,-1224.6987500210694,-0.0032499999999998867,11,21
62120,0.0,-0.0010000000000001564,11,22
191245,-1838.9996637813156,0.007000000000000384,11,23
128070,-613.5211833431242,0.014999999999999859,11,24
