year,month,day,hour,minute,open,close,low,high,volume
2019,3,6,12,19,142.7100,142.6800,142.6700,142.7100,2626
2019,3,6,12,20,142.6400,142.6250,142.6250,142.6500,6499
2019,3,6,12,21,142.6500,142.6600,142.6500,142.6600,2860
2019,3,6,12,22,142.6500,142.6500,142.6500,142.6500,637
2019,3,6,12,23,142.6600,142.5800,142.5800,142.6600,6094
2019,3,6,12,24,142.6600,142.6300,142.6300,142.6700,10483
2019,3,6,12,25,142.5793,142.5450,142.5400,142.5793,5789
2019,3,6,12,26,142.5600,142.5380,142.5380,142.5600,3969
2019,3,6,12,27,142.5400,142.5600,142.5201,142.5600,7791
2019,3,6,12,28,142.5101,142.4700,142.4700,142.5101,11165
2019,3,6,12,29,142.5200,142.5200,142.5200,142.5200,4441
2019,3,6,12,30,142.5100,142.5100,142.5100,142.5100,1458
2019,3,6,12,31,142.5800,142.5900,142.5700,142.5900,13345
2019,3,6,12,32,142.5900,142.5900,142.5900,142.5900,1152
2019,3,6,12,33,142.5900,142.5800,142.5800,142.5900,6841
2019,3,6,12,34,142.5900,142.6000,142.5900,142.6200,4019
2019,3,6,12,35,142.6450,142.6600,142.6450,142.6600,1936
2019,3,6,12,36,142.6600,142.6600,142.6600,142.6600,3063
2019,3,6,12,37,142.7100,142.7100,142.6699,142.7100,15208
2019,3,6,12,38,142.7200,142.7200,142.7200,142.7200,315
2019,3,6,12,39,142.7200,142.7100,142.7100,142.7200,1806
2019,3,6,12,40,142.6800,142.6600,142.6600,142.6800,2401
2019,3,6,12,41,142.6400,142.6400,142.6400,142.6500,8387
2019,3,6,12,42,142.6100,142.6100,142.6100,142.6100,1281
2019,3,6,12,43,142.6400,142.6500,142.6400,142.6500,4723
2019,3,6,12,44,142.6200,142.6200,142.6200,142.6200,877
2019,3,6,12,45,142.6061,142.5951,142.5951,142.6061,4784
2019,3,6,12,46,142.6036,142.6299,142.5700,142.6299,9092
2019,3,6,12,47,142.5900,142.5900,142.5900,142.5900,627
2019,3,6,12,48,142.5759,142.5759,142.5759,142.5759,1808
2019,3,6,12,49,142.5400,142.4700,142.4700,142.5400,4691
2019,3,6,12,50,142.5000,142.5000,142.5000,142.5000,758
2019,3,6,12,51,142.5400,142.5400,142.5400,142.5400,2124
2019,3,6,12,52,142.6138,142.5800,142.5800,142.6138,3585
2019,3,6,12,53,142.5200,142.5000,142.5000,142.5200,1519
2019,3,6,12,54,142.4572,142.4572,142.4572,142.4572,5735
2019,3,6,12,55,142.4400,142.4300,142.4300,142.4400,5013
2019,3,6,12,56,142.4600,142.4200,142.4200,142.4600,5801
2019,3,6,12,57,142.4250,142.4201,142.4201,142.4250,3729
2019,3,6,12,58,142.4640,142.4640,142.4640,142.4640,3561
2019,3,6,12,59,142.4400,142.4400,142.4400,142.4400,1634
2019,3,6,13,0,142.4100,142.4100,142.4100,142.4100,1894
2019,3,6,13,1,142.4450,142.4200,142.4200,142.4450,3132
2019,3,6,13,2,142.4438,142.4399,142.4399,142.4550,3283
2019,3,6,13,3,142.4401,142.4058,142.4058,142.4401,5406
2019,3,6,13,4,142.4135,142.4135,142.4135,142.4135,1179
2019,3,6,13,5,142.4200,142.3900,142.3900,142.4200,3463
2019,3,6,13,6,142.3700,142.3500,142.3500,142.3700,3705
2019,3,6,13,7,142.3800,142.3500,142.3500,142.3800,6033
2019,3,6,13,8,142.3700,142.3300,142.3300,142.3700,2972
2019,3,6,13,9,142.3400,142.3460,142.3400,142.3460,3253
2019,3,6,13,10,142.3282,142.3282,142.3282,142.3282,1662
2019,3,6,13,11,142.3699,142.3600,142.3600,142.3699,5230
2019,3,6,13,12,142.3800,142.3590,142.3590,142.3800,2866
2019,3,6,13,13,142.3600,142.3500,142.3500,142.3600,8576
2019,3,6,13,14,142.3800,142.3800,142.3800,142.3800,892
2019,3,6,13,15,142.3800,142.3864,142.3800,142.3864,2980
2019,3,6,13,16,142.3400,142.3400,142.3400,142.3400,1004
2019,3,6,13,17,142.3200,142.3500,142.3200,142.3500,3104
2019,3,6,13,18,142.4100,142.4350,142.4100,142.4350,2367
2019,3,6,13,19,142.4800,142.4800,142.4800,142.4800,487
2019,3,6,13,20,142.4900,142.4900,142.4900,142.4900,1099
2019,3,6,13,21,142.4300,142.4200,142.4200,142.4300,46540
2019,3,6,13,22,142.4000,142.3900,142.3900,142.4000,3796
2019,3,6,13,23,142.3500,142.3599,142.3500,142.3599,2399
2019,3,6,13,24,142.3600,142.3499,142.3499,142.3600,4859
2019,3,6,13,25,142.3300,142.3500,142.3300,142.3500,2785
2019,3,6,13,26,142.3000,142.3500,142.3000,142.3500,2190
2019,3,6,13,27,142.3500,142.3935,142.3500,142.3935,3678
2019,3,6,13,29,142.3438,142.3000,142.3000,142.3699,16510
2019,3,6,13,30,142.3300,142.3428,142.3200,142.3428,44428
2019,3,6,13,31,142.3900,142.4000,142.3900,142.4100,27181
