year,month,day,hour,minute,open,close,low,high,volume
2019,3,4,9,31,145.0000,145.0100,144.9900,145.0100,189145
2019,3,4,9,32,145.0100,145.0199,145.0100,145.0199,4192
2019,3,4,9,33,144.9920,144.9974,144.9920,144.9974,9235
2019,3,4,9,34,144.9880,144.9799,144.9799,144.9880,8686
2019,3,4,9,35,144.9600,144.9400,144.9400,144.9600,5162
2019,3,4,9,36,144.9200,144.9500,144.9200,144.9500,3986
2019,3,4,9,37,144.9600,144.8999,144.8999,144.9600,8724
2019,3,4,9,38,144.8900,144.9001,144.8900,144.9001,3373
2019,3,4,9,39,144.8941,144.9200,144.8941,144.9200,4478
2019,3,4,9,40,144.9376,144.9650,144.9376,144.9650,6895
2019,3,4,9,41,144.9800,144.9465,144.9465,144.9800,3603
2019,3,4,9,42,144.9400,144.9400,144.9400,144.9500,6643
2019,3,4,9,43,144.9800,144.9300,144.9300,144.9800,5952
2019,3,4,9,44,144.9200,144.8900,144.8900,144.9200,6620
2019,3,4,9,45,144.9400,144.9500,144.9400,144.9500,13378
2019,3,4,9,46,144.9800,144.9200,144.9200,144.9800,3352
2019,3,4,9,47,144.9100,144.9300,144.9100,144.9300,4306
2019,3,4,9,48,144.9100,144.9300,144.8800,144.9300,4627
2019,3,4,9,49,144.9300,144.8700,144.8700,144.9300,10079
2019,3,4,9,50,144.8800,144.7700,144.7700,144.8800,15181
2019,3,4,9,51,144.7500,144.7400,144.7200,144.7500,16285
2019,3,4,9,52,144.6850,144.7300,144.6850,144.7300,4699
2019,3,4,9,53,144.7100,144.7100,144.7100,144.7100,3173
2019,3,4,9,54,144.7300,144.7500,144.7300,144.7500,8258
2019,3,4,9,55,144.7600,144.7499,144.7499,144.7600,6853
2019,3,4,9,56,144.7499,144.7665,144.7499,144.7665,3168
2019,3,4,9,57,144.8199,144.8199,144.8199,144.8199,3267
2019,3,4,9,58,144.8146,144.8780,144.8146,144.8780,14062
2019,3,4,9,59,144.9000,144.9000,144.9000,144.9000,4500
2019,3,4,10,0,144.8900,144.8950,144.8900,144.8950,4765
2019,3,4,10,1,144.8899,144.8715,144.8600,144.8899,33702
2019,3,4,10,2,144.8700,144.8500,144.8500,144.8700,2688
2019,3,4,10,3,144.8350,144.8199,144.8199,144.8350,12639
2019,3,4,10,4,144.7900,144.8400,144.7800,144.8400,9341
2019,3,4,10,5,144.8100,144.8065,144.8065,144.8100,2664
2019,3,4,10,6,144.7967,144.7967,144.7967,144.7967,1015
2019,3,4,10,7,144.8500,144.7700,144.7700,144.8500,4306
